timestamp	delay_ms	delay_smooth
1761758192208495	41.096	41.845
1761758192224677	45.180	41.223
1761758192233888	42.319	41.343
1761758192243616	39.839	41.205
1761758192255130	38.718	41.440
1761758192270468	41.211	41.611
1761758192286972	45.273	41.834
1761758192295348	41.642	41.664
1761758192307892	41.867	41.657
1761758192317442	38.968	41.952
1761758192334620	43.326	42.029
1761758192347105	43.476	42.094
1761758192358028	42.245	42.075
1761758192370640	42.790	42.371
1761758192379681	39.491	42.398
1761758192394739	41.866	42.558
1761758192410782	45.074	42.096
1761758192422397	44.610	41.883
1761758192431961	42.137	42.160
1761758192442686	40.566	42.157
1761758192453605	38.700	42.220
1761758192468922	41.354	41.857
1761758192484663	45.011	41.512
1761758192494545	42.765	41.424
1761758192504175	40.112	41.395
1761758192514815	38.243	41.358
1761758192530984	41.625	41.263
1761758192545483	43.731	41.320
1761758192555610	41.838	41.209
1761758192566147	40.197	41.374
1761758192576109	37.755	41.453
1761758192592928	41.919	41.605
1761758192607318	43.901	41.774
1761758192620008	44.421	41.464
1761758192628572	40.898	41.669
1761758192639847	39.763	41.817
1761758192656003	43.316	42.156
1761758192666117	40.635	41.817
1761758192681475	43.889	41.554
1761758192691260	41.669	41.507
1761758192702959	41.150	41.685
1761758192712889	38.529	41.817
1761758192728298	41.272	41.334
1761758192743125	43.950	41.490
1761758192753879	42.678	41.689
1761758192764456	41.080	41.929
1761758192774197	38.488	41.946
1761758192790623	42.197	42.121
1761758192807035	45.879	41.692
1761758192817210	44.065	42.970
1761758192826475	41.322	43.603
1761758192837652	40.279	43.662
1761758192846889	36.979	43.746
1761758192879290	56.733	43.266
1761758192883974	49.010	42.644
1761758192888692	41.669	42.617
1761758192898512	39.323	42.786
1761758192909070	37.397	42.943
1761758192924139	39.666	43.318
1761758192940539	43.795	41.930
1761758192951840	43.009	41.826
1761758192962706	41.847	41.910
1761758192973966	40.730	42.162
1761758192988725	42.856	42.462
1761758193006660	47.968	42.256
1761758193013340	42.514	41.847
1761758193024609	41.840	41.835
1761758193035410	40.396	41.933
1761758193045178	37.607	41.776
1761758193060031	39.707	41.312
1761758193075724	42.881	40.669
1761758193087658	42.832	41.023
1761758193096243	39.156	41.166
1761758193107701	38.214	41.319
1761758193123760	41.541	41.454
1761758193140722	46.060	41.869
1761758193149891	43.271	42.212
1761758193160598	41.917	42.240
1761758193170097	38.956	42.702
1761758193187683	43.861	42.760
1761758193202632	46.307	42.312
1761758193211635	43.120	41.622
1761758193224267	43.773	41.637
1761758193231634	38.790	41.740
1761758193242593	37.060	41.760
1761758193257597	39.167	41.203
1761758193273958	43.418	40.638
1761758193285536	42.946	40.777
1761758193294006	39.158	40.705
1761758193305832	38.288	40.999
1761758193320931	40.656	41.259
1761758193337296	44.511	41.533
1761758193347783	43.057	41.618
1761758193358615	41.732	41.555
1761758193368939	39.658	41.783
1761758193383902	41.904	41.799
1761758193398734	44.267	41.484
1761758193408716	42.314	41.515
1761758193419904	41.441	41.634
1761758193429211	38.452	41.763
1761758193440834	37.505	42.426
1761758193460688	44.822	42.739
1761758193472386	44.241	42.689
1761758193483164	43.026	42.420
1761758193498321	46.290	42.146
1761758193509262	45.035	42.471
1761758193520097	43.767	43.129
1761758193528102	39.617	42.862
1761758193539655	38.707	42.488
1761758193555358	41.698	42.331
1761758193570461	44.091	41.381
1761758193580504	42.152	41.365
1761758193590948	40.499	41.215
1761758193604309	41.452	41.421
1761758193612482	36.788	41.405
1761758193633128	44.883	40.935
1761758193642735	42.260	40.550
1761758193654198	41.682	40.677
1761758193663433	38.550	40.737
1761758193674486	36.997	40.679
1761758193690595	40.239	40.760
1761758193705891	43.417	40.380
1761758193715607	41.104	40.645
1761758193727589	40.866	40.673
1761758193736945	37.606	40.898
1761758193753314	41.079	40.975
1761758193769245	44.909	41.005
1761758193778402	41.963	41.004
1761758193789409	40.801	41.115
1761758193798899	37.767	41.318
1761758193814399	40.539	42.887
1761758193829897	43.410	43.402
1761758193840644	42.214	43.516
1761758193853312	42.888	43.553
1761758193876092	53.298	43.396
1761758193881820	46.230	43.859
1761758193894219	46.048	43.960
1761758193902948	42.330	43.697
1761758193912792	39.237	43.347
1761758193928398	42.392	43.170
1761758193939531	41.554	42.315
1761758193951006	40.777	42.234
1761758193961469	38.719	41.779
1761758193976804	41.119	41.402
1761758193992710	44.744	41.793
1761758194005444	45.424	41.680
1761758194013599	41.494	41.302
1761758194023150	38.562	41.393
1761758194039730	43.145	41.999
1761758194049953	41.258	42.280
1761758194058880	37.782	41.838
1761758194075566	41.684	41.267
1761758194091277	44.780	41.433
1761758194102403	43.925	42.164
1761758194110907	40.329	42.199
1761758194122636	39.715	42.213
1761758194138878	43.149	42.533
1761758194154023	45.874	42.077
1761758194163851	43.491	41.540
1761758194173796	41.401	41.423
1761758194185727	40.987	41.662
1761758194194553	37.114	41.626
1761758194209742	39.418	41.090
1761758194225291	42.752	40.569
1761758194237248	42.721	40.618
1761758194246090	39.350	40.665
1761758194257039	37.787	40.547
1761758194272720	40.665	40.691
1761758194288550	43.981	40.935
1761758194298350	41.871	41.329
1761758194308377	39.813	41.481
1761758194319513	38.555	41.809
1761758194335592	41.856	41.997
1761758194352929	46.688	41.680
1761758194362479	44.245	41.222
1761758194372884	42.628	41.330
1761758194382347	39.665	41.782
1761758194392786	37.497	42.004
1761758194407569	39.405	41.794
1761758194423268	42.945	41.313
1761758194436650	44.339	41.354
1761758194445329	40.771	41.309
1761758194456753	39.755	41.513
1761758194471696	41.877	41.708
1761758194486736	44.662	41.852
1761758194496280	42.170	41.974
1761758194507936	41.707	41.745
1761758194518164	39.447	42.374
1761758194532392	40.843	42.879
1761758194548419	44.165	42.871
1761758194558275	42.054	42.613
1761758194575404	47.062	42.511
1761758194585543	44.806	42.498
1761758194594499	41.790	43.086
1761758194606940	42.082	43.293
1761758194618386	41.149	43.261
1761758194631495	41.586	43.114
1761758194647663	45.322	42.320
1761758194657478	42.910	41.837
1761758194670520	43.848	42.192
1761758194679526	40.586	42.127
1761758194690657	39.123	42.279
1761758194704257	39.979	42.006
1761758194721751	45.333	41.625
1761758194729865	41.437	41.688
1761758194743282	42.665	41.473
1761758194751868	38.861	41.477
1761758194767337	41.510	41.399
1761758194782012	43.534	41.541
