time_s	time_ms	time_ms_smooth
24.958	4.864	5.165
24.972	5.372	5.159
25.014	5.200	5.154
25.015	5.819	5.140
25.029	5.046	5.169
25.070	5.248	5.143
25.071	5.580	5.139
25.085	5.616	5.118
25.126	4.946	5.120
25.127	4.760	5.133
25.141	4.673	5.090
25.183	5.282	5.070
25.184	5.612	5.284
25.198	5.236	6.058
25.239	4.716	6.270
25.240	4.374	6.250
25.255	5.234	6.204
25.296	4.628	6.216
25.297	4.832	6.200
25.311	4.544	6.189
25.353	4.915	6.185
25.368	5.842	6.186
25.409	4.726	6.222
25.410	4.951	6.222
25.429	10.077	6.203
25.429	24.209	6.168
25.430	10.673	6.155
25.465	4.715	6.161
25.466	4.665	6.206
25.481	5.357	6.182
25.521	4.847	6.176
